Ingredient List,Sweeteners?
"IMPROVERS[170(1) 510], ANTIOXIDANT, REFINED PALM OIL, Asafoetida, Acidity Regulator (260)",nil
"Flour Treatment Agent (1100), Flavour enhancer (635), Synthetic Food Colour (INS-122)(INS-124), Vitamin B2 (Riboflavin), edible palm oil, Refined Palm Oil, Calcium sulfate",nil
"Sucrose, Permitted Emulsifier (E481()), Edible Vegetable Oil (Soyabean, Palmolein), ARTIFICIAL FLAVOURING SUBSTANCES-VANILLA, CHOCOLATE",Sucrose
"saccharin, Noodle powder, Whole Wheat,  ACIDITY REGULATORS (330, 331()), ANTIOXIDANT (INS 322(1))",saccharin
"WHEAT FLOUR, Tricalcium Phosphate, sugar",sugar
"Mineral (Zinc B, Vitamin E (Acetate), sodium erythorbate, FRUIT JUICE POWDER, INVERT SUGAR SYRUP, Potassium Carbonate (Acidity Regulator, E501(i))",INVERT SUGAR SYRUP
"RAISING AGENTS[503(ii),500 (ii),450(1)], Erythritol, Anticaking Agent E551, Stabilizer (407)",Erythritol
"IMPROVERS[170(1) 510], PRESERVATIVES (280, 281 & 200], Erythritol",Erythritol
"Thiamine hydrochloride, Double Toned Milk, Xylitol",Xylitol
"sodium erythorbate, L-tryptophan, Acidity regulators (5000), 5010))&170(0))",nil
"PRESERVATIVES (280, 281 & 200], L-lysine, Acidity Regulator (E260)",nil
"guar gum, tocopherols, microparticulated egg white protein, ascorbic acid, NATURAL CEREAL FIBRE",nil
"Powdered sugar, ALMOND, Palmolein, Hydrogenated Vegetable Oil, sodium nitrite, Water",Powdered sugar
"fruit and vegetable juices, Maltodextrin, NATURAL SPICE OILS, Iodized salt",Maltodextrin
"Antioxidant (INS 320), Acidity Regulator (INS 330), Malt Extract, WHEAT GLUTEN, PRESERVATIVES (280, 281 & 200], EMULSIFIERS [481(i), 471 & 472e], Wheat Gluten",Malt Extract
"Bengal Gram , aspartame, SWEETENER (955)., Anticaking Agent E551, alpha tocopherols, FD&C Yellow Nos. 5 and 6","aspartame, SWEETENER (955)."
"Organic Whole Millets Flour, xanthan gum, RICE FLOUR, aspartame",aspartame
"APPLE ACIDITY REGULATOR 330, Asafoetida, Preservative (282)",nil
"potassium iodide, Jaggery, ALMOND, EMULSIFIERS (322,412,472e,471)",Jaggery
"L-methionine, Lactic acid, Asafoetida, Acidity Regulator (330), Milk Solids, calcium propionate",nil
"Tricalcium Phosphate, WHEAT GLUTEN, Orange B, Calcium sulfate, nitrous oxide",nil
"Flavour Enhancers (INS 627&INS 631)., fruit and vegetable juices, calcium lactate, xanthan gum, Lactitol",Lactitol
"Dry Fruits powder, ANTICAKING AGENT(INS 554), L-cysteine, FLAVOURING SUBSTANCE, whey protein concentrate, Acidity Regulator (INS 330)",nil
"Neotame, MALTITOL (965), Acidity Regulator (330)","Neotame, MALTITOL (965)"
"Emulsifier ((471),460()), Anticaking Agent E551, Water, Dry Fruits powder, BHT, Acidity Regulator (330)",nil
"FD&C Green No. 3, ACIDITY REGULATOR (INS 330), RAISING AGENTS [503(ii),500(ii)], Purified Water, Anticaking Agent E551, colour (INS 150d), Sucrose",Sucrose
"microparticulated egg white protein, FLAVOURING SUBSTANCES, CHOCO CREAM, Tomato Powder",nil
"Leavening agent , EMULSIFIERS [481(i), 471 & 472e], Antioxidant (300)., FD&C Yellow Nos. 5 and 6, Noodle powder, FLAVOURING SUBSTANCES, disodium guanylate or inosinate",nil
"FD&C Red Nos. 3 and 40, Iodized salt, ADDED FLAVOUR (NATURAL FLAVOURING SUBSTANCES, Gur (Jaggery), Milk solids, OATS, EMULSIFIERS (322,412,472e,471)",Gur (Jaggery)
"colour (INS 150d), EMULSIFIERS (INS 322(1), INS 471)., Salt, FLAVOURING SUBSTANCE, Rice Flakes, aspartame",aspartame
"Brown sugar, Salt, Bengal gram dal, Stevia Leaf Extract, WHOLE WHEAT FLOUR(ATTA)","Brown sugar, Stevia Leaf Extract"
"Baking soda, BHA, BUTTER, CHOCO CREAM, Jaggery, NATURAL COLOUR (150d), L-tryptophan",Jaggery
"corn syrup, Corn Flour, Dry Fruits powder, FLAVOURING SUBSTANCES, Toned Milk Dahi, PRESERVATIVE (INS234), WHEAT BRAN",corn syrup
"ARTIFICIAL FLAVOURING SUBSTANCES, Ferrous Citrate, EDIBLE VEGETABLE OIL, Leavening agent , Edible Vegetable Oil (Mustard Oil)",nil
"ADDED ORANGE FLAVOURS , wheat flour, and spices, Mixed spices, microparticulated egg white protein",nil
"Orange B, acesulfame-K, Humectant (4510), Antioxidant (INS 300)., ANTICAKING AGENT(INS 554), Milk solids",acesulfame-K
"chymosin, FD&C Red Nos. 3 and 40, rennet, Edible Common salt, sodium carbonate, ARTIFICIAL FLAVOURING SUBSTANCES, Cocoa solids",nil
"ARTIFICIAL FLAVOURING SUBSTANCES-VANILLA, CHOCOLATE, ACIDITY REGULATOR (CITRIC ACID), Edible Vegetable Oil (Palmolein Oil)",nil
"BUTTER, L-lysine, Stabilizer (407), Ragi, Leavening agents ((5000), 503)), L-leucine, pectin",nil
"Brown sugar, Emulsifier (INS 322), Edible Common salt, Rice Flakes",Brown sugar
"Citrus Red No. 2, STABILIZER (E 440), Refined Palmolein oil, EMULS 472e, 481 (1)",nil
"calcium carbonate, Black Salt, annatto extract, Palm oil, COCOA BUTTER, ACIDITY REGULATOR (INS 330)",nil
"Antioxidant(E300), L-methionine, Steviol Glycosides, Dehydrated Vegetables (carrot, parsley), Thickeners (508 & 412), Flax & Sesame Seeds",Steviol Glycosides
"Cold Pressed Coconut Oil, Citric Acid (Acidifying Agent, E330), Hydrogenated vegetable fats, High-fructose corn syrup (HFCS), Cocoa Solids, REFINED PALMOLEIN, sodium benzoate",High-fructose corn syrup (HFCS)
"HYDROGENATED VEGETABLE FAT, Class II Preservatives (E282),  ACIDITY REGULATORS (330, 331()), Peas, Black Salt",nil
"MALTODEXTRIN, Citrus Red No. 2, EDTA, azodicarbonamide, Edible vegetable oil (Palm oil)",nil
"Soy lecithin, CHOCO CREAM, FRUIT AND VEGETABLE EXTRACTS",nil
"Whole Wheat, Acidity regulators (330&500()), Isomalt, Organic Jaggery, Acidity Regulator (INS 330)","Isomalt, Organic Jaggery"
"RAGI FLOUR, NATURAL FOOD COLOUR (150), Refined Palmolein oil, Refined Wheat Flour, Hydrogenated vegetable fat, Aspartame, Gur (Jaggery)","Aspartame, Gur (Jaggery)"
"CONTAINS PERMITTED NATURAL COLOUR, iron ammonium citrate, pectin, Acidity Regular (INS-330), FLAVOURING SUBSTANCES-CHOCOLATE, SYNTHETIC FOOD COLOURS (110, 102), EMULSIFIERS (322,472e,471)",nil
"Edible Salt, Black Salt, CORN FLAKES, wheat flour, Preservative (282), Antioxidant (INS 300).",nil
"Wheat flour (Maida), Cocoa solids, FRUIT JUICE POWDER, L-lysine, Maltodextrin, potassium sorbate",Maltodextrin
"High-fructose corn syrup (HFCS), fruit and vegetable juices, Maltodextrin, Mixed Spices, Class II Preservative (INS-211), Stabilizer (407)","High-fructose corn syrup (HFCS), Maltodextrin"
"Acidity Regulator (E260), Turmeric Powder, SOYA FLOUR, Corn Flour, Lactitol, annatto extract, EDIBLE VEGETABLE OILS (PALM)",Lactitol
"Leavening agents ((5000), 503)), disodium guanylate or inosinate, Thickener (508)",nil
"NATURAL SPICE OILS, LIQUID GLUCOSE, High-fructose corn syrup (HFCS)","LIQUID GLUCOSE, High-fructose corn syrup (HFCS)"
"Lactitol, Calcium chloride, HYDROGENATED VEGETABLE FAT, Emulsifiers [471,481 (i)], Gelatin, Antioxidant(E300)",Lactitol
"Palm oil, tocopherols, Refined sugar, Refined Palm Oil, neotame, Edible Vegetable Fat","Refined sugar, neotame"
"Antioxidant (300)., SWEETENER (955)., potassium iodide, corn flour, monocalcium phosphate, Jaggery, EMULS 472e, 481 (1)","SWEETENER (955)., Jaggery"
"Antioxidant(E300), niacinamide, Acidity Regulator (INS 330).",nil
"microparticulated egg white protein, COLOUR(S) (INS 150c, INS 150d), NATURAL FOOD COLOUR (150), MILK SOLIDS, calcium propionate, INVERT SUGAR SYRUP",INVERT SUGAR SYRUP
"sodium carbonate, Tertiary Butylhydroquinone (Antioxidant, E319), Vitamin E",nil
"monocalcium phosphate, REFINED WHEAT FLOUR, Maltitol, COLOUR(S) (INS 150c, INS 150d), Acidity regulators (330&500())",Maltitol
"papain, Wheat gluten, Noodle powder, FD&C Red Nos. 3 and 40, cochineal extract or carmine",nil
"xanthan gum, WATER, Emulsifiers [471,481 (i)], LEMON JUICE CONCENTRATE",nil
"CARBONATED WATER, Refined Palmolein oil, Humectant (4510), xanthan gum, cocoa solids, Jaggery, Citrus Red No. 2",Jaggery
"CHOCO CREAM, paprika oleoresin, iron ammonium citrate, neotame, disodium guanylate or inosinate, carrageenan, Edible starch",neotame
"Antioxidant (INS 307b), folate or folic acid, L-leucine",nil
"CLASS II PRESERVATIVE, Thiamine hydrochloride, Sodium Hydrogen Carbonate (Raising Agent, E500 (ii))",nil
"SYNTHETIC FOOD COLOURS (110, 102), Natural flavoring, sodium nitrite, Isomalt",Isomalt
"ARTIFICIAL FLAVOUR SUBSTANCES (ROSE), MIXED FRUIT, BHA",nil
"mono- and diglycerides, Edible Vegetable Oil (Palmolein Oil), PRESERVATIVE-211, EMULSIFIERS [481(i), 471 & 472e], Stabilizer (407), Flax & Sesame Seeds",nil
"Noodle powder, sorbitol, artificial flavor, NATURAL CEREAL FIBRE, Artificial flavoring substance., FLOUR",sorbitol
"REFINED WHEAT FLOUR (53%), WATER, DOUGH CONDITIONER (223), Gelatin, calcium carbonate, IMPROVER [BLEND OF ANTIOXIDANT 300, ANTICAKING AGENT 170(i) & FLOUR IMPROVER 1100]",nil
"EMULSIFIER, Antioxidant(E300), COCOA SOLIDS, CHOCO CREAM, Potassium Carbonate (Acidity Regulator, E501(i)), WHEAT GLUTEN, Refined sugar",Refined sugar
"Tertiary Butylhydroquinone (Antioxidant, E319), Asafoetida, Toned Milk",nil
"Stabilizer (407), CORN FLAKES, ACIDITY REGULATORS (338, 331, 330), Acidity regulators (5000), 5010))&170(0)), SOYA FLOUR",nil
"Leavening agents ((5000), 503)), HYDROGENATED VEGETABLE OIL, EMULSIFIERS (INS 322(1), INS 471)., Tricalcium Phosphate, Vitamin A (Ace Vitamin D2 (Ergocalciferol), Milk Solids",nil
"Carbon dioxide, xanthan gum, BHT, FD&C Blue Nos. 1 and 2, Acidity Regulator (INS 260), glucose",glucose
"Mannitol, Vitamin A (Ace Vitamin D2 (Ergocalciferol), beta carotene, STABILIZER (E 440), Advantame, Corn Flour, CHOCO CREAM","Mannitol, Advantame"
"L-cysteine, Mixed spices, CORN FLAKES, beta carotene, microparticulated egg white protein, calcium sorbate",nil
"niacinamide, neotame, Antioxidant (INS 300)., ROLLED OATS, ADDED ORANGE FLAVOURS ",neotame
"Vitamin D, Tertiary Butylhydroquinone (Antioxidant, E319), WHEAT BRAN, cochineal extract or carmine",nil
"FLAVOURING SUBSTANCES, Acesulfame Potassium (Ace-K), Milk",Acesulfame Potassium (Ace-K)
"Emulsifier (322), PRESERVATIVES (280, 281 & 200], Jaggery",Jaggery
"FD&C Blue Nos. 1 and 2, Whole Wheat, Lactitol, FRUIT AND VEGETABLE EXTRACTS, CONTAINS PERMITTED NATURAL COLOUR,  ACIDITY REGULATORS (330, 331())",Lactitol
"CONTAINS PERMITTED NATURAL COLOUR, Vitamin B1 (The chloride hydrochloride), Hydrogenated Vegetable Oil",nil
"Vitamin E, L-methionine, REFINED WHEAT FLOUR (53%), SOYA FLOUR, CHOCO CREAM, Yeast",nil
"Whole Wheat, Refined Wheat Flour (Maida), corn syrup, FLAVOURING SUBSTANCE, Thickeners (508 & 412), Milk solids, Calcium chloride",corn syrup
"ascorbic acid, SOYA FLOUR, MALTODEXTRIN, Hydrogenated Vegetable Oil, pectin, egg yolks, papain",nil
"ANTICAKING AGENT(INS 554), ammonium phosphate, Salt, Edible Vegetable Fat",nil
"Emulsifier (322), Acidity regulator (339(1)), SYNTHETIC FOOD COLOURS (E102 & E133), RAISING AGENTS[503(ii),500 (ii),450(1)], Invert Syrup, Leavening agent ",Invert Syrup
"Soy lecithin, CEREAL PRODUCTS, APPLE ACIDITY REGULATOR 330, Flavour Enhancers (INS 627&INS 631)., FLAVOURING SUBSTANCES-CHOCOLATE",nil
"Cold Pressed Coconut Oil, Bengal gram dal, grape skin extract, FRUIT JUICE POWDER, Tomato Powder, sorbitan monostearate, REFINED PALM OIL",nil
"NATURAL COLOUR (160a (i)), Anticaking Agent E551, Erythritol, Soy lecithin",Erythritol
"FD&C Blue Nos. 1 and 2, sorbitol, EMULSIFYING STABILIZING AGENTS (INS 414, INS 331, INS 415), Gelatin, alpha tocopherols, Sodium Hydrogen Carbonate (Raising Agent, E500 (ii))",sorbitol
"Sweetener (960), FLAVOURING SUBSTANCES, Maple sugar, Sucralose, Mixed spices","Sweetener (960), Maple sugar, Sucralose"
"iron ammonium citrate, Emulsifier (Soya lecithin), Cocoa solids",nil
"ADDED ORANGE FLAVOUR,  ACIDITY REGULATORS (330, 331()), Black Salt, Sodium Benzoate (INS 211).",nil
"ascorbic acid, Dehydrated Vegetables (carrot, parsley), mono- and diglycerides, NATURE IDENTICAL FLAVOURING SUBSTANCES CHOCOLATE, Citric Acid (Acidifying Agent, E330), iron or ferrous sulfate, mannitol",mannitol
"FRUIT JUICE POWDER, SYNTHETIC FOOD COLOUR (INS 133), EMULSIFIERS (E322, E476).",nil
"SYNTHETIC FOOD COLOURS, tocopherols, Spices & Condiments",nil
"EDIBLE VEGETABLE OIL (PALM), Gur (Jaggery), RAGI FLOUR",Gur (Jaggery)
"L-tryptophan, PRESERVATIVE-211, Edible starch, NATURAL COLOUR (150d)",nil
"Advantame, EDIBLE COMMON SALT, WHEAT BRAN, Leavening agent , ADDED ORANGE FLAVOUR, RICE FLOUR",Advantame
"Wheat Gluten, PRESERVATIVE (211), WHEAT FLOUR",nil
"L-cysteine, ANTIOXIDANT (INS 322(1)), Milk, Ragi, Acidity Regulator (INS 330)., azodicarbonamide, Vitamin B1 (The chloride hydrochloride)",nil
"SYNTHETIC FOOD COLOURS (110, 102), Tertiary Butylhydroquinone (Antioxidant, E319), folate or folic acid",nil
"Leavening agents ((5000), 503)), RAGI FLOUR, Advantame, Erythritol, Rock Salt","Advantame, Erythritol"
"Milk Solids, Sucralose, Black Salt, Edible Common salt",Sucralose
"Wheat gluten, Organic Jaggery, DOUGH CONDITIONER (223), COCOA BUTTER",Organic Jaggery
"potassium sorbate, Acidity Regulator (E260), Edible Salt, silicon dioxide",nil
"CARBONATED WATER, LEMON JUICE CONCENTRATE, ELAICHI FLAVOUR, Purified Water, Stevia Leaf Extract, mineral (Calcium carbonate), whey",Stevia Leaf Extract
"acesulfame-K, Orange Fruit Powder, Refined Palmolein oil, stabilizer (INS 170), EMULSIFIERS (322,412,472e,471)",acesulfame-K
"polysorbates, whey, Edible Vegetable Fat, Orange B",nil
"high fructose corn syrup, Sucralose, Acidity Regular (INS-330)","high fructose corn syrup, Sucralose"
"Natural flavoring, cochineal extract or carmine, REFINED PALM OIL, potassium sorbate, Thiamine hydrochloride, papain",nil
"FRUIT AND VEGETABLE EXTRACTS, BLACK SALT, Milk Solids, nitrous oxide, REFINED WHEAT FLOUR, ARTIFICIAL FLAVOURING SUBSTANCES-VANILLA, CHOCOLATE, MANGO PULP",nil
"niacinamide, EDIBLE COMMON SALT, cochineal extract or carmine, Iodized salt",nil
"EMULSIFYING STABILIZING AGENTS (INS 414, INS 331, INS 415), Antioxidant (INS 307b), artificial flavor, Brown sugar",Brown sugar
"Anticaking Agent E551, Stevia Leaf Extract, ARTIFICIAL SWEETENERS, FLOUR, EMULSIFIERS (322,472e,471), OATS",Stevia Leaf Extract
"Refined Wheat Flour (Maida), Whole Wheat Flour, potassium iodide",nil
"Hydrogenated vegetable fat, carrageenan, cocoa solids",nil
"Food Colours (171, 110, 102),, HONEY, Refined Wheat flour (Maida), Xylitol","HONEY, Xylitol"
"RAISING AGENTS [503 (ii), 500 (ii) ), ammonium hydroxide, Carbon dioxide, Saccharin, mannitol, caramel color","Saccharin, mannitol"
"Wheat Gluten, Emulsifier (322), microparticulated egg white protein",nil
"Permitted Emulsifier (E481()), saffron, BHA",nil
"Dextrose, nitrous oxide, Tricalcium Phosphate, and spices",Dextrose
"Thiamine hydrochloride, ACIDITY REGULATORS (330, 331()), REFINED PALMOLEIN, PRESERVATIVE (211), Enzymes, colour (INS 150d)",nil
"Acidity Regulator (E260), NATURAL SPICE EXTRACTS, Antioxidant (INS 307b), ADDED ORANGE FLAVOURS , Flax & Sesame Seeds, Agave nectar, WHEAT BRAN",Agave nectar
"ammonium hydroxide, azodicarbonamide, REFINED PALM OIL, Enzymes, Baking soda, EDTA",nil
"Sesame Seeds, ANTICAKING AGENT(INS 554), STABILIZER (PECTIN) , Acidity Regular (INS-330)",nil
"Molasses, Calcium silicate, Edible Common Salt, Flavour Enhancers (INS 627&INS 631)., Peanut",Molasses
"potassium iodide, ANTIOXIDANT (INS 322(1)), HYDROGENATED VEGETABLE OIL, NATURAL SPICE OILS, WHEAT GLUTEN, Stevia",Stevia
"Water, Acidity Regulator (INS 330)., Calcium chloride, Acidity Regulator (INS-330), Tomato Powder, Black Salt, LEMON JUICE CONCENTRATE",nil
"STABILIZER (PECTIN) , REFINED PALMOLEIN, Spices & Condiments, ACIDITY REGULATOR (CITRIC ACID)",nil
"Enzymes, Flavour Enhancers E627 E631, saccharin, Toned Milk, Permitted Emulsifier (E481())",saccharin
"MIXED FRUIT, Maple sugar, ammonium phosphate, sucralose, Antioxidant (INS 307b), L-methionine, NATURE IDENTICAL FLAVOURING SUBSTANCES CHOCOLATE","Maple sugar, sucralose"
"Refined Wheat Flour (Maida), EMULSIFIERS (INS 322(1), INS 471)., fruit and vegetable juices, monocalcium phosphate",nil
"Calcium chloride, Refined Soyabean Oil, Toned Milk, HONEY, NATURAL COLOUR (160a (i)), Vitamin B2",HONEY
"L-leucine, potassium sorbate, NATURAL CEREAL FIBRE, SWEETENERS( 951, 950)","SWEETENERS( 951, 950)"
"Enzymes, EMULSIFIER, Emulsifiers [471,481 (i)], FRUIT AND VEGETABLE EXTRACTS, Orange B, CLASS II PRESERVATIVE",nil
"Class II Preservative (INS-211), monocalcium phosphate, STABILIZER (PECTIN) , Peas, ADDED FLAVOUR SUBSTANCES, saccharin",saccharin
"CARBONATED WATER, Sesame Seeds, lodized Salt, BLACK SALT, MILK SOLIDS, EMULSIFYING STABILIZING AGENTS (INS 414, INS 331, INS 415), Wheat flour (Maida)",nil
"sodium erythorbate, Organic Whole Millets Flour, EDTA",nil
"PRESERVATIVE (211), MILK SOLIDS, Refined Wheat flour (Maida), xanthan gum, NATURAL FOOD COLOUR (150)",nil
"Preservative (282), Refined Wheat Flour (Maida), Thickener (508), Aspartame",Aspartame
"MILK SOLIDS, calcium carbonate, polysorbates",nil
"Gelatin, LIQUID GLUCOSE, Milk, cochineal extract or carmine, FLAVOURING SUBSTANCES",LIQUID GLUCOSE
"Maltitol, grape skin extract, Acidity Regulator (260), ANTICIDANT [300], amino acids, Acidity regulators (330&500()), Maple sugar","Maltitol, Maple sugar"
"ACIDITY REGULATOR (CITRIC ACID), Humectant (4510), Advantame, Dry Fruits powder, SYNTHETIC FOOD COLOUR-124",Advantame
"Jaggery, CLASS II PRESERVATIVE, Edible Vegetable Oil (Mustard Oil)",Jaggery
"Iodized salt, Milk, cochineal extract or carmine, L-tryptophan",nil
"BUTTER, Organic Jaggery, ARTIFICIAL FLAVOURING SUBSTANCES ETHYL VANILLIN",Organic Jaggery
"L-leucine, Potassium Carbonate (Acidity Regulator, E501(i)), ADDED FLAVOUR (NATURAL FLAVOURING SUBSTANCES, BHA",nil
"sugar, DOUGH CONDITIONER (223), Vitamin B2 (Riboflavin), silicon dioxide, L-lysine",sugar
"ammonium hydroxide, RAISING AGENTS[503(ii),500 (ii),450(1)], folate or folic acid, NATURAL SPICE OILS",nil
"SPICES AND CONDIMENTS , ANTICIDANT [300], Refined Soyabean Oil, ADDED FLAVOUR (NATURAL FLAVOURING SUBSTANCES, Class II Preservatives (E282), Leavening Agent (INS 500 {i}), Flour Treatment Agent (1100)",nil
"SYNTHETIC FOOD COLOURS (110, 102), Asafoetida, Carbon dioxide, Saccharin",Saccharin
"Yeast, LIQUID GLUCOSE, ammonium phosphate, EDIBLE VEGETABLE OIL (PALM)",LIQUID GLUCOSE
"nitrous oxide, Wheat Gluten, ORANGE JUICE",nil
"Edible Common Salt, Anticaking Agent E551, NATURE IDENTICAL FLAVOURING SUBSTANCES CHOCOLATE, saffron, sugar, Antioxidant(E300)",sugar
"Calcium sulfate, Gur (Jaggery), RAGI FLOUR, NATURAL ESSENTIAL OILS, ARTIFICIAL FLAVOUR SUBSTANCES (ROSE), ACIDITY REGULATOR (CITRIC ACID)",Gur (Jaggery)
"EMULS 472e, 481 (1), Sunflower Oil, Refined Soyabean Oil, Jaggery, Milk solids, STABILIZER (PECTIN) ",Jaggery
"Refined Palm Oil, Hydrogenated Vegetable Oil, sorbitol, Refined Soyabean Oil, saffron, Ammonium sulfate, Red Chilli Powder",sorbitol
"Ascorbic acid, INVERT SUGAR SYRUP, Toned Milk Dahi, Citrus Red No. 2, saffron",INVERT SUGAR SYRUP
"Acidity Regulator (E260), EDIBLE VEGETABLE OILS (PALM), Double Toned Milk, ANTICIDANT [300], Edible common Sequestrant (339(1)), Orange B, NATURE IDENTICAL FLAVOURING SUBSTANCES CHOCOLATE",nil
"Hydrogenated vegetable fat, Sodium Polyphosphate (Emulsifying Agent, E452(i)), COMMON SALT, L-methionine, Thiamine hydrochloride",nil
"Emulsifiers [471,481 (i)], EDIBLE COMMON SALT, iron ammonium citrate, alpha tocopherols",nil
"REFINED PALMOLEIN, folate or folic acid, FLAVOURING SUBSTANCE, Mannitol, corn syrup, Advantame, Asafoetida","Mannitol, corn syrup, Advantame"
"EDIBLE VEGETABLE OIL, Citric Acid (Acidifying Agent, E330), High-fructose corn syrup (HFCS), high fructose corn syrup","High-fructose corn syrup (HFCS), high fructose corn syrup"
"ACIDITY REGULATORS (338, 331, 330), Milk Solids, SOYA FLOUR, SYNTHETIC FOOD COLOURS, Double Toned Milk, high fructose corn syrup",high fructose corn syrup
"azodicarbonamide, CHOCO CREAM, BLACK SALT, SYNTHETIC FOOD COLOUR-124, MILK SOLIDS, xanthan gum, Dry Fruits powder",nil
"SWEETENERS( 951, 950), Humectant (4510), polydextrose, ANTICAKING AGENT(INS 554), SPICES AND CONDIMENTS ","SWEETENERS( 951, 950)"
"DOUGH CONDITIONER (223), NATURAL COLOUR (160a (i)), Organic Jaggery, WHOLE WHEAT FLOUR(ATTA), STABILIZER (E 440), CARBONATED WATER",Organic Jaggery
"Dry Fruits powder, RAISING AGENTS [503 (ii), 500 (ii) ), ORANGE JUICE, FRUIT AND VEGETABLE EXTRACTS",nil
"COCOA BUTTER, Vitamin D, LIQUID GLUCOSE, CLASS II PRESERVATIVE, EDTA, Flavour Enhancers (INS 627&INS 631).",LIQUID GLUCOSE
"RAISING AGENTS [503(ii),500(ii)], Dextrose, BHT, ADDED FLAVOUR (NATURAL FLAVOURING SUBSTANCES, Potassium Chloride (Gelling Agent, E508), Iodized salt, FLAVOURING SUBSTANCE",Dextrose
"Advantame, Acidity Regulator (INS 330)., FD&C Red Nos. 3 and 40, Palmolien Oil",Advantame
"MILK SOLIDS, IMPROVER [BLEND OF ANTIOXIDANT 300, ANTICAKING AGENT 170(i) & FLOUR IMPROVER 1100], annatto extract, Organic Jaggery, FD&C Yellow Nos. 5 and 6",Organic Jaggery
"MILK SOLIDS, Edible Vegetable Fat, RAISING AGENTS[503(ii),500 (ii),450(1)], Class II Preservatives (E282), Isomalt",Isomalt
"polysorbates, Wheat gluten, Refined Wheat flour (Maida), monocalcium phosphate",nil
"ANTIOXIDANT, Vitamin B1 (The chloride hydrochloride), calcium carbonate, ACIDITY REGULATORS (330, 331()), Orange B, WATER, Brown sugar",Brown sugar
"calcium sorbate, mannitol, FD&C Green No. 3",mannitol
"Peas, Ammonium sulfate, Refined Soyabean Oil, WHEAT GLUTEN, Mannitol",Mannitol
"Carbon dioxide, Noodle powder, Stabilisers (415, 466, 1400),, high fructose corn syrup, sodium nitrite",high fructose corn syrup
"REFINED PALMOLEIN, Lactitol, RAISING AGENTS[503(ii),500 (ii),450(1)], Acidity Regulator (INS 330).",Lactitol
"IMPROVER [BLEND OF ANTIOXIDANT 300, ANTICAKING AGENT 170(i) & FLOUR IMPROVER 1100], saccharin, NATURAL CEREAL FIBRE",saccharin
"Food Colours (171, 110, 102),, Emulsifier (INS 322), Antioxidant (INS 307b), Soy lecithin, Edible Common Salt, saccharin, amino acids",saccharin
"SYNTHETIC FOOD COLOUR-124, Synthetic Food Colour (INS-122)(INS-124), whey protein concentrate, EDIBLE COMMON SALT, Ragi, Maple sugar, Edible common Sequestrant (339(1))",Maple sugar
"Powdered sugar, Dry Fruits powder, EMULSIFIERS (INS 322(1), INS 471)., alpha tocopherols, FD&C Blue Nos. 1 and 2, calcium propionate",Powdered sugar
"fructose, Steviol Glycosides, Aspartame, FLOUR, Edible Vegetable Oil (Palmolein Oil), Emulsifier (INS 322), sodium erythorbate","fructose, Steviol Glycosides, Aspartame"
"Vitamin E, CORN FLAKES, ACIDITY REGULATORS (330, 331()), Cocoa solids, Acidity Regulator(INS 330 & INS 260)",nil
"MILK SOLIDS, Milk, EMULSIFIERS (INS 322(1), INS 471)., Maltodextrin",Maltodextrin
"Citrus Red No. 2, Acidity regulators (330&500()), Gur, ELAICHI FLAVOUR, sodium nitrite, Refined Palm Oil, FLAVOURING SUBSTANCE",Gur
"Black Salt, Cocoa solids, Tomato Powder, NATURAL ESSENTIAL OILS",nil
"ARTIFICIAL FLAVOURING SUBSTANCES ETHYL VANILLIN, Thiamine hydrochloride, ammonium hydroxide, SYNTHETIC FOOD COLOURS (110, 102), Monosodium glutamate, Calcium silicate",nil
"Acidity regulators (330&500()), Glycerin, STABILIZER (PECTIN) , FLAVOURING SUBSTANCE, xanthan gum, NATURAL SPICE OILS, ARTIFICIAL FLAVOURING SUBSTANCES",nil
"carrageenan, rennet, SWEETENER (955)., EMULS 472e, 481 (1)",SWEETENER (955).
"ELAICHI FLAVOUR, Yeast, ADDED FLAVOUR NATURE IDENTICAL FLAVOURING SUBSTANCE, whey, Dry Fruits powder",nil
"sodium benzoate, fruit and vegetable juices, Stevia Leaf Extract",Stevia Leaf Extract
"Refined Palm Oil, ADDED ORANGE FLAVOUR, SYNTHETIC FOOD COLOURS (INS 102 & 133), Aspartame, Isomalt, Acidity Regulator (260), Turmeric Powder","Aspartame, Isomalt"
"Edible starch, Flour Treatment Agent (1100), Acidity regulators (5000), 5010))&170(0))",nil
"sodium carbonate, and spices, Neotame, saccharin, SWEETENERS( 951, 950), Acidity regulators (330&500())","Neotame, saccharin, SWEETENERS( 951, 950)"
"Vitamins, Emulsifiers [471,481 (i)], Bengal Gram , Thiamine hydrochloride",nil
"calcium lactate, amino acids, Invert Syrup, Stabilizer (407), IODISED SALT, polydextrose",Invert Syrup
"Purified Water, Flavour enhancer (635), monocalcium phosphate, Potassium Carbonate (Acidity Regulator, E501(i)), Whole Wheat Flour, ELAICHI FLAVOUR",nil
"EMULSIFYING STABILIZING AGENTS (INS 414, INS 331, INS 415), Xylitol, carrageenan, Corn Flour, Emulsifiers [471,481 (i)], saccharin, Vitamin D","Xylitol, saccharin"
